city,country,latitude,longitude,max temp,humidity,cloudiness,windspeed
paamiut,GL,61.99,-49.67,4.66,87,100,13.55
mataura,NZ,-46.19,168.86,7.78,79,80,2.24
goderich,CA,43.74,-81.71,17.22,64,100,8.94
sao filipe,CV,14.9,-24.5,25.44,82,3,6.02
kyabe,TD,9.45,18.94,21.01,97,100,1.57
yar-sale,RU,66.83,70.83,1.77,95,100,7.93
coquimbo,CL,-29.95,-71.34,16.0,59,0,7.2
hermanus,ZA,-34.42,19.24,14.44,92,29,4.31
tessalit,ML,20.2,1.01,31.51,9,72,1.28
adrar,DZ,27.87,-0.29,28.0,14,0,5.7
labuhan,ID,-2.54,115.51,22.12,86,20,0.62
college,US,64.86,-147.8,2.0,69,90,1.5
nanortalik,GL,60.14,-45.24,4.86,81,51,0.68
makakilo city,US,21.35,-158.09,29.0,58,75,3.1
pevek,RU,69.7,170.27,-1.55,81,100,8.83
narsaq,GL,60.91,-46.05,13.0,30,75,5.1
kasempa,ZM,-13.46,25.83,20.4,54,22,3.01
katsuura,JP,33.93,134.5,21.0,83,75,2.1
pringsewu,ID,-5.36,104.98,20.22,98,100,0.38
kendari,ID,-3.99,122.52,21.8,97,64,0.61
ibra,OM,22.69,58.55,23.29,61,0,1.12
richards bay,ZA,-28.77,32.06,20.88,93,4,5.59
hasaki,JP,35.73,140.83,21.11,88,75,3.6
snyder,US,32.72,-100.92,34.44,33,40,2.1
tuatapere,NZ,-46.13,167.69,7.78,79,100,2.24
naze,NG,5.43,7.07,23.43,94,100,1.71
general roca,AR,-39.03,-67.58,18.0,27,0,1.0
marsa matruh,EG,31.35,27.25,24.26,69,0,4.15
faanui,PF,-16.48,-151.75,26.48,73,53,2.94
tiksi,RU,71.64,128.87,-7.82,92,98,2.48
udachnyy,RU,66.42,112.4,-4.0,100,90,3.0
iqaluit,CA,63.75,-68.52,2.0,69,75,6.2
constitucion,MX,23.99,-104.67,25.56,29,75,4.1
kaitangata,NZ,-46.28,169.85,9.44,61,79,3.58
shache,CN,38.42,77.24,17.78,59,50,0.45
bredasdorp,ZA,-34.53,20.04,15.0,77,2,2.1
ulaangom,MN,49.98,92.07,0.88,67,9,0.45
juba,EE,57.82,26.93,-1.0,92,1,2.1
bratsk,RU,56.15,101.63,1.0,83,89,3.0
saint-philippe,CA,45.36,-73.48,14.44,41,1,1.5
butaritari,KI,3.07,172.79,29.44,64,75,2.38
talnakh,RU,69.49,88.39,1.0,89,75,3.0
tautira,PF,-17.73,-149.15,28.0,69,40,6.2
hilo,US,19.71,-155.08,30.0,58,1,2.6
slave lake,CA,55.28,-114.77,11.0,62,90,12.3
north myrtle beach,US,33.83,-78.68,23.33,72,75,3.6
meadow lake,CA,54.13,-108.44,11.0,71,90,6.7
auki,NG,12.18,6.51,25.44,78,81,3.16
kavieng,PG,-2.57,150.8,28.85,67,22,1.91
severo-kurilsk,RU,50.68,156.12,7.71,97,100,11.13
kitimat,CA,54.02,-128.69,12.22,81,75,4.6
kieta,PG,-6.22,155.63,27.21,76,0,2.71
ternate,PH,14.29,120.72,26.11,88,20,0.5
arraial do cabo,BR,-22.97,-42.02,25.0,78,0,12.3
morondava,MG,-20.3,44.28,24.36,69,0,7.39
karla,EE,59.37,24.93,5.0,69,75,3.6
atuona,PF,-9.8,-139.03,26.74,73,0,6.99
cherskiy,RU,68.75,161.3,-6.43,94,100,5.23
quincy,US,30.59,-84.58,35.0,36,40,3.6
baena,ES,37.62,-4.32,23.0,46,99,1.5
kawalu,ID,-7.38,108.21,17.67,92,77,1.34
chuy,UY,-33.69,-53.46,12.37,77,100,5.97
palora,EC,-1.7,-77.97,31.0,45,75,3.6
ludwigslust,DE,53.33,11.5,7.22,91,4,0.45
napanee,CA,44.25,-76.95,13.33,47,40,2.1
san patricio,PY,-26.98,-56.83,16.76,93,100,3.4
kourou,GF,5.16,-52.64,28.0,78,0,2.6
necochea,AR,-38.55,-58.74,12.09,70,0,3.58
upernavik,GL,72.79,-56.15,0.36,98,100,0.88
chulman,RU,56.84,124.9,-1.77,90,98,1.83
ostrovnoy,RU,68.05,39.51,1.0,85,100,9.1
jaleswar,IN,21.8,87.22,25.72,86,0,2.2
te horo,NZ,-40.81,175.12,14.44,61,0,5.1
noyabrsk,RU,63.2,75.45,8.0,97,100,5.0
barrow,AR,-38.31,-60.23,13.29,57,0,3.85
benesov nad ploucnici,CZ,50.74,14.31,7.78,100,75,2.1
haines junction,CA,60.75,-137.51,0.97,71,90,1.65
bilma,NE,18.69,12.92,33.52,14,0,3.28
mayo,CA,63.59,-135.9,2.0,80,90,4.6
lipin bor,RU,60.26,37.97,-1.04,97,25,2.91
muswellbrook,AU,-32.27,150.89,15.23,78,99,0.62
kruisfontein,ZA,-34.0,24.73,16.29,62,0,3.75
tenenkou,ML,14.46,-4.91,33.54,32,0,4.39
safranbolu,TR,41.25,32.69,13.53,97,99,1.02
long,FR,50.04,1.98,14.0,100,90,2.1
kaisiadorys,LT,54.87,24.45,0.0,82,0,1.0
eldama ravine,KE,0.05,35.72,10.67,97,38,1.7
vallenar,CL,-28.58,-70.76,18.86,40,0,3.89
hambantota,LK,6.12,81.12,27.65,76,100,3.86
humberto de campos,BR,-2.6,-43.46,26.14,77,80,3.27
codrington,AU,-28.95,153.24,16.67,87,90,1.0
bruchsal,DE,49.12,8.6,10.56,93,0,2.6
laguna,BZ,16.17,-88.94,32.0,66,75,4.1
tilichiki,RU,60.47,166.1,-2.34,73,1,2.77
souillac,FR,45.6,-0.6,16.0,87,90,2.1
brownsville,US,25.91,-97.49,33.0,59,75,5.7
banda aceh,ID,5.56,95.32,27.4,77,100,4.64
tecoanapa,MX,16.99,-99.26,31.0,66,40,3.1
teknaf,BD,20.86,92.31,27.88,75,77,1.33
kamenka,MD,48.03,28.7,5.56,89,32,1.61
karratha,AU,-20.74,116.85,25.65,15,0,5.29
fort-shevchenko,KZ,44.51,50.26,18.72,51,0,8.77
maragogi,BR,-9.01,-35.22,21.9,85,0,2.19
namibe,AO,-15.19,12.15,19.86,80,20,6.01
daru,PG,-9.07,143.21,23.73,90,93,4.06
victoria,BN,5.28,115.24,27.0,83,75,1.5
etchojoa,MX,26.91,-109.62,36.11,39,20,2.6
pangnirtung,CA,66.15,-65.72,-9.08,59,0,2.52
wufeng,CN,27.44,104.87,13.1,95,43,1.62
margate,AU,-43.03,147.26,12.78,66,75,3.6
yumen,CN,40.29,97.04,7.9,32,100,4.76
saldanha,PT,41.42,-6.55,16.6,56,100,4.81
can tho,VN,10.04,105.78,24.0,100,40,1.23
shu,KZ,43.6,73.76,13.86,47,37,2.09
xaxim,BR,-26.96,-52.53,16.71,98,100,2.86
leshukonskoye,RU,64.9,45.76,-1.03,98,93,0.53
westport,US,41.14,-73.36,15.56,30,1,2.1
komsomolskiy,RU,67.55,63.78,0.19,96,100,2.16
meulaboh,ID,4.14,96.13,25.6,82,91,2.17
rincon,PA,8.46,-82.28,26.06,84,100,3.11
abu dhabi,AE,24.47,54.37,31.0,74,0,2.6
grand-santi,GF,4.27,-54.38,28.87,57,81,1.37
beringovskiy,RU,63.05,179.32,-2.36,45,0,8.84
nantucket,US,41.28,-70.1,13.33,54,1,5.1
oyama,JP,36.31,139.8,24.44,88,75,3.1
kansanshi,ZM,-12.1,26.43,20.64,54,23,3.85
sioux lookout,CA,50.1,-91.92,7.0,93,90,5.7
coihaique,CL,-45.58,-72.07,10.0,53,75,3.1
lompoc,US,34.64,-120.46,32.22,17,1,3.1
gushikawa,JP,26.35,127.87,25.0,69,20,4.1
ayagoz,KZ,47.96,80.43,6.11,37,0,5.35
south lake tahoe,US,38.93,-119.98,20.0,18,1,3.6
nanakuli,US,21.39,-158.15,29.0,58,75,3.1
fortuna,US,40.6,-124.16,19.44,63,20,6.7
kilindoni,TZ,-7.91,39.67,26.08,81,1,6.72
east london,ZA,-33.02,27.91,17.13,81,0,1.77
kidodi,TZ,-7.6,37.0,20.37,81,70,1.44
tuy hoa,VN,13.08,109.3,22.14,96,100,0.41
alice springs,AU,-23.7,133.88,24.0,12,0,4.1
pombas,BR,-15.9,-54.74,27.71,60,75,1.05
pangkalanbuun,ID,-2.68,111.62,23.07,90,82,0.5
marau,BR,-28.45,-52.2,15.23,96,100,4.11
santa cruz de tenerife,ES,28.47,-16.25,23.89,93,75,7.2
cidreira,BR,-30.17,-50.22,16.92,84,100,4.94
hailey,US,43.52,-114.32,10.0,42,90,5.1
ribeira brava,PT,32.65,-17.07,23.0,73,20,4.6
granadilla de abona,ES,28.12,-16.58,23.89,73,20,7.2
xai-xai,MZ,-25.04,33.64,20.24,66,0,1.7
guilin,CN,25.28,110.29,24.0,73,0,1.0
marystown,CA,47.17,-55.16,5.68,67,90,6.12
georgetown,GY,6.8,-58.16,29.0,74,40,5.1
salinopolis,BR,-0.61,-47.36,27.35,80,3,7.17
loandjili,CG,-4.77,11.87,26.0,88,75,2.1
glendive,US,47.11,-104.71,14.0,35,20,11.3
enshi,CN,30.29,109.48,15.14,97,100,1.97
rockland,CA,45.55,-75.29,13.33,47,20,2.1
miandrivazo,MG,-19.53,45.46,25.94,53,69,1.86
tomigusuku,JP,26.18,127.67,25.0,69,20,4.1
ancud,CL,-41.87,-73.83,11.0,66,75,5.7
torbay,CA,47.66,-52.73,4.44,86,75,8.7
kahului,US,20.89,-156.47,30.0,58,20,7.2
jutai,BR,-1.71,-47.89,24.57,92,100,1.81
vila,IT,45.18,8.4,17.22,87,0,2.6
taksimo,RU,56.36,114.84,-1.31,81,100,1.48
verkh-usugli,RU,52.7,115.17,1.42,76,68,5.79
pakxe,LA,15.12,105.78,22.92,93,88,1.01
new norfolk,AU,-42.78,147.06,12.78,66,75,3.6
saint-pierre,FR,48.95,4.24,14.0,100,75,4.6
san jeronimo,PE,-13.65,-73.37,15.64,58,10,4.43
jawar,IQ,32.75,45.21,27.18,19,0,3.87
kungurtug,RU,50.6,97.53,-1.69,56,21,1.52
muscat,OM,23.6,58.55,29.0,79,0,2.1
lata,IN,30.78,78.62,0.84,58,100,1.87
ponta delgada,PT,37.73,-25.67,22.0,100,40,2.1
hay river,CA,60.82,-115.79,7.0,93,75,1.5
weiser,US,44.25,-116.97,15.56,50,20,3.77
balkanabat,TM,39.51,54.36,21.94,19,0,7.81
kavaratti,IN,10.57,72.64,27.74,67,52,1.19
pisco,PE,-13.71,-76.2,22.0,30,75,10.3
najran,SA,17.54,44.22,27.0,21,0,0.9
kuchera,IN,26.99,73.97,26.84,42,53,1.82
mbandaka,CD,0.05,18.26,24.07,71,0,0.72
esperance,AU,-33.86,121.89,11.0,100,90,2.1
micheweni,TZ,-4.97,39.83,25.75,84,2,4.87
villa carlos paz,AR,-31.42,-64.5,22.22,19,0,4.1
zavodoukovsk,RU,56.51,66.54,9.97,76,30,4.18
qaqortoq,GL,60.72,-46.03,13.0,30,75,5.1
progress,RU,49.74,129.68,2.0,72,0,3.39
pingliang,CN,35.54,106.68,8.56,97,100,1.9
pithoro,PK,25.52,69.38,27.64,70,23,4.93
cayenne,GF,4.94,-52.33,28.0,78,0,2.6
shwebo,MM,22.57,95.7,24.74,85,0,2.2
ahipara,NZ,-35.17,173.16,18.89,100,88,4.6
gallup,US,35.53,-108.74,23.0,11,1,4.6
aras,ES,42.56,-2.36,18.0,72,0,3.6
puerto carreno,CO,6.19,-67.49,34.0,49,20,2.4
jumla,NP,29.28,82.18,7.35,85,62,1.7
vadso,NO,70.07,29.75,2.0,99,100,2.6
dondo,MZ,-19.62,34.74,19.67,93,0,0.45
fuente de oro,CO,3.46,-73.62,23.96,81,59,1.23
come,BJ,6.41,1.88,25.0,94,20,1.06
aldan,RU,58.61,125.39,1.04,99,100,1.46
wesselsbron,ZA,-27.85,26.36,20.56,31,83,2.1
uyemskiy,RU,64.47,40.85,0.0,98,75,2.43
scarborough,GB,54.28,-0.41,13.33,82,100,4.1
vila do maio,CV,15.13,-23.22,27.0,69,20,5.1
moron,HT,18.56,-74.26,27.67,81,100,4.35
diego de almagro,CL,-26.39,-70.05,15.05,59,0,4.39
vilhena,BR,-12.74,-60.15,23.0,83,20,4.1
edd,ER,13.93,41.69,31.87,50,0,1.9
port hardy,CA,50.7,-127.42,12.0,87,75,2.6
kamaishi,JP,39.28,141.86,11.05,97,97,0.97
ilinskiy,RU,55.62,38.12,7.78,81,75,1.0
oranjestad,AW,12.52,-70.03,32.0,66,40,7.2
virginia beach,US,36.85,-75.98,21.0,64,75,5.1
fukue,JP,35.03,136.69,23.0,64,40,8.2
caravelas,BR,-17.73,-39.27,23.81,79,0,5.13
ust-nera,RU,64.57,143.24,-16.7,94,70,1.71
otsuki,JP,35.64,138.92,22.78,88,90,3.6
shingu,JP,33.72,135.99,13.92,87,0,2.58
marzuq,YE,14.4,46.47,24.18,42,87,1.88
hermosillo,MX,29.09,-110.96,36.11,34,5,2.39
chingirlau,KZ,51.09,54.08,11.21,26,19,4.58
baruun-urt,MN,46.68,113.28,1.15,46,0,3.93
batagay-alyta,RU,67.8,130.41,-14.14,57,100,1.29
samarai,PG,-10.62,150.67,23.81,94,100,1.38
calbuco,CL,-41.77,-73.13,14.0,50,75,2.1
huntington beach,US,33.68,-118.0,31.11,36,1,3.6
taltal,CL,-25.41,-70.49,14.79,65,0,4.4
matagami,NG,9.67,8.4,21.8,92,100,2.37
kualakapuas,ID,-3.01,114.39,23.13,89,39,0.92
port lincoln,AU,-34.72,135.86,14.67,88,31,8.04
sisimiut,GL,66.94,-53.67,1.16,96,100,12.1
havelock,US,34.88,-76.9,24.0,60,90,5.1
vardo,US,39.62,-77.74,18.33,55,90,2.6
otjimbingwe,NA,-22.35,16.13,16.94,29,0,0.71
pontes e lacerda,BR,-15.23,-59.33,22.85,94,87,2.14
harrison,US,39.26,-84.82,27.22,27,1,2.13
eyl,SO,7.98,49.82,23.91,87,12,4.79
hukuntsi,BW,-23.98,21.76,23.23,18,32,4.26
sandona,CO,1.29,-77.47,24.0,57,40,3.6
albacete,ES,39.0,-1.86,18.89,51,0,2.6
codajas,BR,-3.84,-62.06,28.28,76,100,1.01
dingle,PH,11.0,122.67,23.02,92,78,2.14
saint george,GR,39.45,22.34,19.0,48,20,1.79
kalmunai,LK,7.42,81.82,23.75,90,62,1.09
carballo,ES,43.21,-8.69,16.0,82,40,0.5
kurud,IN,20.85,81.72,23.04,86,2,0.58
xiaoshi,CN,30.59,116.63,16.8,80,45,5.22
laon,FR,49.56,3.62,14.0,93,90,2.6
tupik,RU,54.43,119.94,0.12,80,100,1.15
iquitos,PE,-3.75,-73.25,32.0,62,75,4.1
mimongo,GA,-1.62,11.6,20.43,94,2,0.69
teruel,ES,40.34,-1.11,18.0,54,0,2.6
miguel pereira,BR,-22.45,-43.47,33.0,43,0,2.1
zhoucheng,CN,31.35,119.33,16.0,82,0,3.0
ilulissat,GL,69.22,-51.1,3.0,86,10,0.5
praxedis guerrero,MX,31.37,-106.02,30.0,37,75,3.1
rock sound,BS,24.9,-76.2,27.34,79,0,8.26
harper,US,30.3,-99.24,33.33,33,1,1.5
henties bay,NA,-22.12,14.28,17.22,87,9,2.68
guantanamo,BO,-16.14,-62.05,19.0,93,90,8.2
raudeberg,NO,61.99,5.14,7.0,81,0,4.1
alofi,NU,-19.06,-169.92,24.0,60,75,7.7
lazo,RU,45.88,133.65,1.98,66,0,3.27
wejherowo,PL,54.61,18.25,8.33,80,20,2.6
greenwood,CA,49.09,-118.68,16.67,44,2,2.68
huancavelica,PE,-12.79,-74.97,5.35,63,100,2.01
shenzhen,CN,22.54,114.05,29.44,74,40,5.1
khasan,RU,42.43,130.64,2.55,57,0,1.8
tateyama,JP,36.66,137.31,17.78,97,100,2.24
puri,ID,-7.54,112.45,21.66,85,99,4.54
anuppur,IN,23.12,81.7,19.81,90,19,0.73
opuwo,NA,-18.06,13.84,21.64,30,73,1.82
khandyga,RU,62.65,135.58,-9.31,67,0,2.7
vanavara,RU,60.35,102.28,-0.03,83,100,4.18
vila franca do campo,PT,37.72,-25.43,22.0,100,40,2.1
parry sound,CA,45.34,-80.04,14.44,58,100,0.45
roald,NO,62.58,6.12,1.11,55,0,2.1
vestmannaeyjar,IS,63.44,-20.27,9.94,88,80,7.39
warrington,GB,53.39,-2.59,13.0,82,90,2.6
san quintin,PH,17.54,120.52,22.24,86,18,1.54
mega,ET,4.06,38.32,22.26,63,46,3.58
aleksandrovsk-sakhalinskiy,RU,50.9,142.16,8.69,60,29,6.09
magaria,NE,13.0,8.91,23.19,71,100,7.1
hamilton,CA,43.26,-79.87,15.0,66,75,8.2
bambous virieux,MU,-20.34,57.76,23.0,94,75,3.1
kolobrzeg,PL,54.18,15.58,8.89,69,32,7.48
taoudenni,ML,22.68,-3.98,30.57,10,0,4.34
broken hill,AU,-31.97,141.45,25.0,17,0,5.7
sri aman,MY,1.24,111.46,23.0,100,100,0.68
darhan,MN,49.49,105.92,3.77,46,69,1.93
kimbe,PG,-5.56,150.15,24.22,89,0,1.15
erenhot,CN,43.65,111.97,6.39,39,0,2.17
baker city,US,44.77,-117.83,16.0,38,20,4.1
usinsk,RU,66.0,57.56,1.13,97,100,4.04
sovetskiy,RU,56.76,48.47,3.64,88,78,1.95
zhuhai,CN,40.71,112.04,7.0,81,20,2.0
walvis bay,NA,-22.95,14.51,17.22,87,0,0.5
nemuro,JP,43.32,145.57,12.08,66,71,6.77
lagos,NG,6.46,3.39,23.52,95,100,2.14
riyadh,SA,24.63,46.72,30.0,30,20,1.5
sinnamary,GF,5.38,-52.96,27.83,77,0,6.17
sao simao,BR,-21.48,-47.55,35.0,19,20,2.1
yeroham,IL,30.99,34.93,18.3,86,36,1.61
berceni,RO,44.93,26.12,13.33,100,0,2.6
ulladulla,AU,-35.36,150.48,14.0,100,100,1.73
stonewall,CA,50.13,-97.33,8.0,87,90,6.7
qobustan,AZ,40.08,49.41,20.0,68,0,5.1
hervey bay,AU,-25.3,152.85,16.0,93,0,3.1
ketchikan,US,55.34,-131.65,11.0,93,90,5.7
pangody,RU,65.85,74.49,1.61,97,100,7.55
saint anthony,US,43.97,-111.68,8.33,56,20,3.6
mount gambier,AU,-37.83,140.78,14.0,87,75,8.7
solnechnyy,RU,50.72,136.64,1.84,65,57,1.74
aripuana,BR,-9.17,-60.63,31.1,52,100,0.8
geraldton,CA,49.72,-86.95,9.0,66,90,6.2
russell,US,38.9,-98.86,21.11,35,1,8.7
axim,GH,4.87,-2.24,25.16,90,62,4.29
amazar,RU,53.86,120.88,-0.57,90,100,1.3
kirakira,SB,-10.46,161.92,26.62,80,2,1.85
mana,NG,13.03,5.27,28.33,61,38,4.47
zhigansk,RU,66.77,123.37,-2.99,90,100,6.58
sabang,PH,13.8,121.11,24.44,94,0,1.13
jianhu,CN,29.93,120.57,20.56,77,75,4.0
rio de janeiro,BR,-22.91,-43.21,33.0,62,0,3.1
taywarah,AF,33.35,64.42,6.14,40,33,0.86
port-gentil,GA,-0.72,8.78,26.0,88,40,5.7
kupino,RU,54.36,77.31,11.32,79,83,3.54
khani,GE,41.96,42.96,22.0,78,40,6.2
rancharia,BR,-22.23,-50.89,37.0,14,0,1.0
sur,OM,22.57,59.53,29.22,45,71,5.5
amapa,HN,15.09,-87.97,34.0,52,75,3.6
labis,MY,2.38,103.02,22.67,90,7,0.65
bayonne,FR,43.49,-1.48,18.0,77,90,1.0
halifax,CA,44.65,-63.58,11.67,53,20,6.2
anadyr,RU,64.73,177.51,-4.0,79,40,11.0
muyezerskiy,RU,63.93,31.65,-2.12,92,100,2.91
berlevag,NO,70.86,29.09,5.27,80,100,5.6
camargo,MX,27.69,-105.17,28.95,39,32,2.8
ozinki,RU,51.2,49.73,15.29,36,100,5.49
kalevala,FI,64.12,29.58,-0.98,93,100,2.61
lasa,CY,34.92,32.53,24.0,78,75,1.0
mandalgovi,MN,45.76,106.27,2.38,49,0,4.64
vao,EE,59.1,26.19,2.12,76,83,2.92
sorong,ID,-0.86,131.25,23.62,96,65,1.93
seoul,KR,37.57,126.98,15.0,81,20,1.0
bang pakong,TH,13.54,100.99,27.22,94,20,2.1
jalu,LY,29.03,21.55,21.89,58,0,6.37
kallaste,EE,58.66,27.16,-1.0,100,49,2.6
venado tuerto,AR,-33.75,-61.97,21.67,30,0,2.24
khingansk,RU,49.12,131.18,0.67,76,0,1.95
vila velha,BR,-3.71,-38.6,27.0,65,0,6.2
kununurra,AU,-15.77,128.74,21.0,77,0,2.6
miraflores,PE,-16.39,-71.52,18.0,41,0,4.6
roma,IT,41.89,12.48,18.0,93,20,2.1
severodvinsk,RU,64.56,39.82,0.0,91,75,7.21
leua,AO,-11.65,20.45,18.05,76,92,0.9
lorengau,PG,-2.02,147.27,26.33,79,15,1.74
skole,UA,49.04,23.51,6.67,83,100,0.83
polewali,ID,-4.03,119.8,26.36,78,71,6.34
jiazi,CN,19.61,110.49,23.0,100,19,1.0
maues,BR,-3.38,-57.72,31.36,51,97,1.48
akdagmadeni,TR,39.66,35.88,15.73,55,42,2.64
los llanos de aridane,ES,28.66,-17.92,24.0,73,90,6.7
barraute,CA,48.43,-77.63,12.0,46,75,2.6
sumbawanga,TZ,-7.95,31.62,16.82,81,100,2.57
touros,BR,-5.2,-35.46,26.0,69,20,5.1
paro,BT,27.43,89.41,0.81,93,0,1.38
terrace,CA,54.52,-128.61,12.22,81,75,4.6
port keats,AU,-14.25,129.55,24.64,84,19,2.96
gorontalo,ID,0.54,123.06,21.99,93,0,0.97
amahai,ID,-3.31,129.0,24.94,88,43,4.35
argelia,CO,4.73,-76.12,26.0,65,40,2.1
rorvik,NO,64.86,11.24,6.75,57,36,1.5
